Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,Collection_Date_code,GenBank_Title,Species_code
GU190215,2010-08-25T00:00:00Z,Bat coronavirus BM48-31/BGR/2008,Coronaviridae,29276,complete,"Drexler,J.F., Gloza-Rausch,F., Glende,J., Corman,V.M., Muth,D., Goettsche,M., Seebens,A., Niedrig,M., Pfefferle,S., Yordanov,S., Zhelyazkov,L., Hermanns,U., Vallo,P., Lukashev,A., Muller,M.A., Deng,H., Herrler,G., Drosten,C.",20686038,Bulgaria,Rhinolophus blasii,,2008,2008-07-15,"Bat coronavirus BM48-31/BGR/2008, complete genome",Bat betacoronavirus
NC_025217,2014-10-03T00:00:00Z,Bat Hp-betacoronavirus Zhejiang2013,Coronaviridae,31491,complete,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","26262818, 26433221",China,Hipposideros pratti,,4/29/13,2013-04-29,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome",Bat betacoronavirus
KF636752,2014-10-01T00:00:00Z,Bat Hp-betacoronavirus Zhejiang2013,Coronaviridae,31491,complete,"Wu,Z., Yang,L., Ren,X., Zhang,J., Yang,F., Zhang,S., Jin,Q., He,G., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J.","26433221, 26262818",China,Hipposideros pratti,,4/29/13,2013-04-29,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome",Bat betacoronavirus
KF530093,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30483,partial,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/24/83,1983-02-24,"Human coronavirus OC43 strain OC43/human/USA/832-27/1983, partial genome",Betacoronavirus 1
DQ811784,2006-08-01T00:00:00Z,Betacoronavirus 1,Coronaviridae,31007,complete,"Spiro,D., Halpin,R., Wang,S., Stollar,S., Zhang,X., Hasoksuz,M., Janies,D., Hadya,N., Tang,Y., Ghedin,E., Saif,L., Hostetler,J., Fedorova,N., Overton,L., Stockwell,T., Sitz,J., Katzel,D., Li,K., Axelrod,N., Safford,T., Amedeo,P., Schobel,S., Shrivastava,S., Resnick,A., Thovarai,V., Kim,M., Vlasova,A.",,,Bos taurus,,1983,1983-07-15,"Bovine coronavirus DB2, complete genome",Betacoronavirus 1
KF530060,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/8/85,1985-01-08,"Human coronavirus OC43 strain OC43/human/USA/851-15/1985, complete genome",Betacoronavirus 1
KF530085,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30569,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,1/22/87,1987-01-22,"Human coronavirus OC43 strain OC43/human/USA/871-25/1987, complete genome",Betacoronavirus 1
KF530086,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,2/10/87,1987-02-10,"Human coronavirus OC43 strain OC43/human/USA/872-5/1987, complete genome",Betacoronavirus 1
KF530087,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,3/5/87,1987-03-05,"Human coronavirus OC43 strain OC43/human/USA/873-6/1987, complete genome",Betacoronavirus 1
KF530077,2013-10-07T00:00:00Z,Betacoronavirus 1,Coronaviridae,30577,complete,"Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E., Williams,J.V.",,"USA: Nashville, TN",Homo sapiens,,3/12/87,1987-03-12,"Human coronavirus OC43 strain OC43/human/USA/873-16/1987, complete genome",Betacoronavirus 1
