Accession,Release_Date,Species,Family,Length,Nuc_Completeness,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Species_code
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,29903,complete,"Baranov,P.V., Henderson,C.M., Anderson,C.B., Gesteland,R.F., Atkins,J.F., Howard,M.T., Robertson,M.P., Igel,H., Baertsch,R., Haussler,D., Ares,M. Jr., Scott,W.G., Williams,G.D., Chang,R.Y., Brian,D.A., Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.","15680415, 15630477, 10482585",China,Homo sapiens,,2019-12,"Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome",Severe acute respiratory syndrome-related coronavirus
NC_006213,2019-02-21T00:00:00Z,Betacoronavirus 1,Coronaviridae,30741,complete,"St-Jean,J.R., Jacomy,H., Desforges,M., Vabret,A., Freymuth,F., Talbot,P.J.",15280490,USA,,,,"Human coronavirus OC43 strain ATCC VR-759, complete genome",Betacoronavirus 1
NC_038294,2018-08-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30111,complete,"Galiano,M., Myers,R., Bermingham,A., Gopal,R., Zambon,M.",,United Kingdom,Homo sapiens,,2012-09-11,"Betacoronavirus England 1, complete genome",Middle East respiratory syndrome-related coronavirus
NC_039207,2018-08-24T00:00:00Z,Hedgehog coronavirus 1,Coronaviridae,30148,complete,"Corman,V.M., Kallies,R., Philipps,H., Gopner,G., Muller,M.A., Eckerle,I., Brunink,S., Drosten,C., Drexler,J.F.",24131722,Germany,Erinaceus europaeus,feces,2012,"Betacoronavirus Erinaceus/VMC/DEU/2012 isolate ErinaceusCoV/2012-174/GER/2012, complete genome",Hedgehog coronavirus 1
NC_030886,2016-09-12T00:00:00Z,Rousettus bat coronavirus GCCDC1,Coronaviridae,30161,complete,"Huang,C., Liu,J., Xu,W., Jin,T., Shi,Y., Ji,W., Jia,H., Zhou,Y., Wen,H., Zhao,H., Liu,H., Li,H., Wang,Q., Wu,Y., Wang,L., Liu,D., Liu,G., Yu,H., Holmes,E., Lu,L., Gao,G.F.",,China,Rousettus leschenaultii,feces,2014-05-28,"Rousettus bat coronavirus isolate GCCDC1 356, complete genome",Rousettus bat coronavirus GCCDC1
NC_026011,2015-01-07T00:00:00Z,China Rattus coronavirus HKU24,Coronaviridae,31249,complete,"Lau,S.K., Woo,P.C., Li,K.S., Tsang,A.K., Fan,R.Y., Luk,H.K., Cai,J.P., Chan,K.H., Zheng,B.J., Wang,M., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Li,K.S.M., Tsang,A.K.L., Fan,R.Y.Y., Luk,H.K.H., Cai,J.-P., Chan,K.-H., Yuen,K.-Y.",25552712,China,Rattus norvegicus,,2012-05-17,"Betacoronavirus HKU24 strain HKU24-R05005I, complete genome",China Rattus coronavirus HKU24
NC_025217,2014-10-03T00:00:00Z,Bat Hp-betacoronavirus Zhejiang2013,Coronaviridae,31491,complete,"Wu,Z., Yang,L., Ren,X., He,G., Zhang,J., Yang,J., Qian,Z., Dong,J., Sun,L., Zhu,Y., Du,J., Yang,F., Zhang,S., Jin,Q.","26262818, 26433221",China,Hipposideros pratti,,2013-04-29,"Bat Hp-betacoronavirus/Zhejiang2013, complete genome",Bat betacoronavirus
AC_000192,2013-12-20T00:00:00Z,Murine coronavirus,Coronaviridae,31526,complete,"Baker,S., Nielsen,E.M., Jukneliene,D., the PATRIC-BRC project (https://patric.vbi.vt.edu), the PATRIC-BRC project  (https://patric.vbi.vt.edu)",,,,,,"Murine hepatitis virus strain JHM, complete genome",Murine coronavirus
NC_019843,2012-12-13T00:00:00Z,Middle East respiratory syndrome-related coronavirus,Coronaviridae,30119,complete,"van Boheemen,S., de Graaf,M., Lauber,C., Bestebroer,T.M., Raj,V.S., Zaki,A.M., Osterhaus,A.D., Haagmans,B.L., Gorbalenya,A.E., Snijder,E.J., Fouchier,R.A., Victor,S.R., Osterhaus,A.D.M.E., Fouchier,R.A.M.",23170002,,Homo sapiens,,2012-06-13,"Middle East respiratory syndrome coronavirus, complete genome",Middle East respiratory syndrome-related coronavirus
NC_017083,2012-07-10T00:00:00Z,Rabbit coronavirus HKU14,Coronaviridae,31100,complete,"Lau,S.K., Woo,P.C., Yip,C.C., Fan,R.Y., Huang,Y., Wang,M., Guo,R., Lam,C.S., Tsang,A.K., Lai,K.K., Chan,K.H., Che,X.Y., Zheng,B.J., Yuen,K.Y., Lau,S.K.P., Woo,P.C.Y., Yip,C.C.Y., Fan,R.Y.Y., Guo,R.T., Lam,C.S.F., Lai,K.K.Y.",22398294,China,Oryctolagus cuniculus,,2006,"Rabbit coronavirus HKU14, complete genome",Rabbit coronavirus HKU14
